container_count,entity_id,entity_type,event_id,event_type,origin,terminal,timestamp,wagons,weight_tons
292,EVER_GLOBE,ship,e00469fc-adc5-459c-9a71-9e2a148a74fd,SHIP_DEPARTURE,Singapore,T3,2026-05-29T16:29:08.972953,,
,CONT_259600,container,ad4f28e8-fb69-4e7c-9537-1fd9ca25ed12,CONTAINER_SCAN,,T4,2026-05-29T16:29:19.972953,,7.65
,CP_4401,train,b2d3823b-e2ef-4f02-be72-8bc7db08cbd8,TRAIN_UNLOADING,,T4,2026-05-29T16:29:41.972953,36,
,CONT_305467,container,a472a5f2-4ae0-4e75-b546-3735e87cee6d,CONTAINER_TRANSFER,,T4,2026-05-29T16:29:47.972953,,29.5
,CONT_548976,container,0a408898-a8a5-4b4b-81c8-ae3d54265310,CONTAINER_LOAD,,T1,2026-05-29T16:30:27.972953,,20.8
,TAKARGO_991,train,b248864e-a375-4d4c-9327-637f3b437f84,TRAIN_ARRIVAL,,T3,2026-05-29T16:30:36.972953,14,
,CONT_938264,container,39df7004-5f25-4feb-8afd-a33a18eb33ec,CONTAINER_UNLOAD,,T1,2026-05-29T16:31:51.972953,,10.91
1994,POSEIDON_X,ship,b5e0a41f-33f2-4e54-84f8-0c93ce8a1a27,SHIP_UNDOCKED,Singapore,T2,2026-05-29T16:32:00.972953,,
,MEDWAY_778,train,8001d366-9d31-4460-80f2-2c5c266a696e,TRAIN_DEPARTURE,,T2,2026-05-29T16:32:55.972953,25,
,CONT_238401,container,d4cf6304-b0c7-4220-86ce-aa9448f733b1,CONTAINER_SCAN,,T2,2026-05-29T16:35:29.972953,,16.6
,MEDWAY_778,train,a3edd71a-eee1-4317-a7a4-67d943ea8a7f,TRAIN_LOADING,,T1,2026-05-29T16:35:31.972953,31,
680,EVER_GLOBE,ship,48da4fa5-6dfe-4d59-b3c8-d9cda24ea8c7,SHIP_DOCKED,Hamburg,T2,2026-05-29T16:40:09.972953,,
1411,MSC_ATLAS,ship,57b71bbb-3db8-4a3a-9ef1-93e7d9b9d0f9,SHIP_DEPARTURE,Valencia,T2,2026-05-29T16:40:28.972953,,
,CONT_131023,container,5ddc49b4-39ca-4800-ae55-f7190a2ddee0,CONTAINER_SCAN,,T1,2026-05-29T16:40:32.972953,,22.81
1637,EVER_GLOBE,ship,fbd50185-1ee6-448c-9eac-fd090b71ff2b,SHIP_ARRIVAL,Rotterdam,T1,2026-05-29T16:40:50.972953,,
1574,MAERSK_NEXUS,ship,d46560ad-8679-44ee-a12c-10218ead88e0,SHIP_ARRIVAL,Shanghai,T2,2026-05-29T16:41:01.972953,,
718,MSC_ATLAS,ship,8eece811-9c52-4d80-b414-339ef37b0720,SHIP_ARRIVAL,Singapore,T4,2026-05-29T16:42:36.972953,,
310,MSC_ATLAS,ship,a40d9680-dfb1-4593-851a-65ccf52d7e8a,SHIP_DOCKED,Singapore,T4,2026-05-29T16:44:00.972953,,
,MEDWAY_778,train,88d76ff9-2fe2-4e45-8b44-199b9d124f0b,TRAIN_UNLOADING,,T2,2026-05-29T16:45:13.972953,33,
,CONT_781349,container,3e41cbd3-bd97-456c-aec9-ac3e448dda3f,CONTAINER_SCAN,,T4,2026-05-29T16:45:18.972953,,27.03
,CONT_599984,container,c453e573-346e-4159-afe4-1cfd0583c7ba,CONTAINER_LOAD,,T2,2026-05-29T16:46:41.972953,,7.87
617,EVER_GLOBE,ship,119842a4-4024-4378-8069-d3e4267ee7d5,SHIP_DEPARTURE,Valencia,T3,2026-05-29T16:47:21.972953,,
1115,POSEIDON_X,ship,c63833d5-4955-4cd3-8fbd-4d50f600735f,SHIP_UNDOCKED,Valencia,T3,2026-05-29T16:47:31.972953,,
,CONT_904233,container,c3458a5b-bb14-45d7-b861-bc368f2921db,CONTAINER_SCAN,,T3,2026-05-29T16:48:07.972953,,6.02
,CP_4401,train,85becc66-cace-4e01-81d6-0ec62d98a55c,TRAIN_UNLOADING,,T1,2026-05-29T16:48:19.972953,34,
,CONT_531786,container,7461fd23-cfd3-44ee-8e72-ae198cf517ea,CONTAINER_SCAN,,T1,2026-05-29T16:48:52.972953,,9.53
815,MSC_ATLAS,ship,6909765a-4684-4c73-90fd-22891a1925d3,SHIP_ARRIVAL,Shanghai,T4,2026-05-29T16:49:33.972953,,
,CONT_903745,container,34760e44-51bb-40e6-b56a-bf7c95d35e0a,CONTAINER_UNLOAD,,T2,2026-05-29T16:52:31.972953,,11.91
,CONT_466620,container,4084052e-df8a-4075-87e4-fc41cb397bec,CONTAINER_TRANSFER,,T3,2026-05-29T16:54:08.972953,,17.33
,MEDWAY_778,train,d45e0f14-ea22-4893-9a52-41ea3113ef2d,TRAIN_ARRIVAL,,T3,2026-05-29T16:54:33.972953,13,
,CP_4401,train,b3c31fd4-d5ac-4ab4-a720-5328ec4e1fda,TRAIN_DEPARTURE,,T3,2026-05-29T16:55:19.972953,40,
1214,POSEIDON_X,ship,eb359afd-a7c6-46ba-a66b-be1d81f9c609,SHIP_ARRIVAL,Rotterdam,T4,2026-05-29T16:56:38.972953,,
,CONT_649859,container,763c113b-49d1-465c-8aa8-72b9a33ea82f,CONTAINER_UNLOAD,,T4,2026-05-29T16:58:28.972953,,22.53
,CONT_660148,container,7109ec27-2ed7-4f62-93c7-e701c886f14f,CONTAINER_UNLOAD,,T4,2026-05-29T16:58:46.972953,,16.78
,CONT_731295,container,f757a44a-8705-4a7d-a564-9a8759e098f5,CONTAINER_UNLOAD,,T2,2026-05-29T16:59:26.972953,,28.55
983,POSEIDON_X,ship,9e2eaed7-ad21-4e54-aae3-8b17b12f524d,SHIP_DOCKED,Shanghai,T1,2026-05-29T17:00:43.972953,,
738,POSEIDON_X,ship,1fa25fd8-c65e-475e-af45-5bd30addd890,SHIP_DEPARTURE,Hamburg,T2,2026-05-29T17:01:12.972953,,
,CONT_955596,container,8e2c96f4-8222-4fb5-b760-a562820e66bc,CONTAINER_SCAN,,T4,2026-05-29T17:01:45.972953,,18.34
1811,POSEIDON_X,ship,daeaabfa-7cbe-4af5-8d51-e4cd17615485,SHIP_UNDOCKED,Hamburg,T4,2026-05-29T17:02:54.972953,,
,TAKARGO_991,train,4e722175-73eb-43a3-a051-b4ac83948ee9,TRAIN_UNLOADING,,T2,2026-05-29T17:03:13.972953,33,
,MEDWAY_778,train,4c0a4b80-563d-4824-ba9e-3425593cd7cd,TRAIN_DEPARTURE,,T4,2026-05-29T17:03:19.972953,30,
,TAKARGO_991,train,728f2ac1-c96f-425a-980a-54403963312b,TRAIN_LOADING,,T1,2026-05-29T17:04:48.972953,24,
363,EVER_GLOBE,ship,01b9965b-995d-40bf-83e2-5215cdce13a9,SHIP_DEPARTURE,Rotterdam,T4,2026-05-29T17:06:20.972953,,
,CP_4401,train,7b0b3b3f-09aa-48f6-b23f-9a14cd3e23ea,TRAIN_LOADING,,T3,2026-05-29T17:07:13.972953,34,
981,POSEIDON_X,ship,23233539-e657-4d87-8386-3e6140795d79,SHIP_UNDOCKED,Valencia,T4,2026-05-29T17:07:16.972953,,
1375,POSEIDON_X,ship,49f9693e-b7fa-4784-9ef5-01aa976eee41,SHIP_DEPARTURE,Valencia,T3,2026-05-29T17:09:13.972953,,
,CONT_992492,container,f7e75225-7099-46b3-991e-c3b1d4fa27b3,CONTAINER_TRANSFER,,T2,2026-05-29T17:09:15.972953,,26.74
1121,MSC_ATLAS,ship,357f17c8-3d45-4181-ab98-c7129d2f9970,SHIP_DEPARTURE,Valencia,T3,2026-05-29T17:10:17.972953,,
1972,MSC_ATLAS,ship,293e1fae-be9e-4485-a72e-9b1a8ca8826e,SHIP_UNDOCKED,Valencia,T1,2026-05-29T17:11:05.972953,,
,CONT_955738,container,10b3f9fc-202c-45a0-aa35-09a8d6dee256,CONTAINER_TRANSFER,,T2,2026-05-29T17:11:33.972953,,6.22
1790,MSC_ATLAS,ship,37443796-bafc-48fb-8dda-9ae1e686aef6,SHIP_UNDOCKED,Singapore,T1,2026-05-29T17:13:05.972953,,
1091,MSC_ATLAS,ship,497332df-232b-4a0e-aba9-31960a052318,SHIP_UNDOCKED,Singapore,T1,2026-05-29T17:14:58.972953,,
1476,MAERSK_NEXUS,ship,fca41041-cc2e-4289-bff6-8a129c7738d5,SHIP_ARRIVAL,Shanghai,T2,2026-05-29T17:15:04.972953,,
,CONT_122386,container,c57b782b-b3a1-495f-bfa1-9e691adff1d2,CONTAINER_UNLOAD,,T2,2026-05-29T17:15:13.972953,,23.35
,CONT_223275,container,c8328dd6-69d8-44fa-b6d9-358f1dd0bc0a,CONTAINER_UNLOAD,,T2,2026-05-29T17:15:33.972953,,13.57
1656,EVER_GLOBE,ship,a5f81a51-f821-48d6-a998-af53613a195e,SHIP_DOCKED,Singapore,T3,2026-05-29T17:15:33.972953,,
,CONT_147889,container,1e8c57aa-e945-44b2-99de-0749b9c373d8,CONTAINER_LOAD,,T1,2026-05-29T17:16:09.972953,,20.85
,CONT_239526,container,b220cdd6-1afd-4dd6-b43f-1964738a36bb,CONTAINER_UNLOAD,,T4,2026-05-29T17:16:30.972953,,13.69
,CONT_770060,container,26873b3e-2436-4a15-8484-4853669e2d3e,CONTAINER_SCAN,,T3,2026-05-29T17:17:27.972953,,12.86
,CONT_861295,container,9585ff9e-f06b-4b87-bf49-b372493e7d12,CONTAINER_UNLOAD,,T3,2026-05-29T17:17:56.972953,,17.24
1198,MSC_ATLAS,ship,8075d4a6-e4bf-4475-8cfa-5c17e301ae36,SHIP_ARRIVAL,Shanghai,T1,2026-05-29T17:20:24.972953,,
1437,MSC_ATLAS,ship,3e3762a5-6698-4b3b-8b75-4967f8fe670c,SHIP_DEPARTURE,Hamburg,T2,2026-05-29T17:21:00.972953,,
,MEDWAY_778,train,541069b5-0872-4232-8407-ae5f13ef4428,TRAIN_LOADING,,T3,2026-05-29T17:22:09.972953,18,
,CP_4401,train,e69cceba-6091-4352-a1c9-4bf5c6923934,TRAIN_ARRIVAL,,T1,2026-05-29T17:22:32.972953,17,
,CONT_441274,container,e1078211-8f6c-4d80-9556-d9d98798058a,CONTAINER_UNLOAD,,T3,2026-05-29T17:25:20.972953,,23.95
,CONT_659668,container,a5a2d395-d306-43fc-a3eb-15020552a3ed,CONTAINER_LOAD,,T3,2026-05-29T17:25:20.972953,,17.82
1997,EVER_GLOBE,ship,71a24b11-f760-42e5-a5a1-421b31c6457d,SHIP_DEPARTURE,Rotterdam,T4,2026-05-29T17:26:00.972953,,
1911,POSEIDON_X,ship,f73236d4-4fd3-447f-b25f-4f9b17666197,SHIP_ARRIVAL,Hamburg,T3,2026-05-29T17:26:46.972953,,
473,POSEIDON_X,ship,b8f93caf-5b47-4995-be4b-0f5b5ddd8cb8,SHIP_DEPARTURE,Shanghai,T1,2026-05-29T17:26:54.972953,,
955,POSEIDON_X,ship,8ef5cf9d-ef86-4da6-b9a4-7c4938b592db,SHIP_ARRIVAL,Rotterdam,T4,2026-05-29T17:27:55.972953,,
1200,MAERSK_NEXUS,ship,190cb54b-b16d-4183-a30c-fc49683205c4,SHIP_UNDOCKED,Shanghai,T1,2026-05-29T17:29:29.972953,,
,CP_4401,train,4e5ae012-7307-45c4-aa71-f03ec2ae6931,TRAIN_ARRIVAL,,T2,2026-05-29T17:30:13.972953,26,
,TAKARGO_991,train,47269dde-de75-4a40-81f3-d9b2fc32b57c,TRAIN_LOADING,,T2,2026-05-29T17:30:15.972953,13,
,MEDWAY_778,train,06d820d4-9ee1-4b66-a465-45937348dc51,TRAIN_DEPARTURE,,T1,2026-05-29T17:30:19.972953,24,
,CP_4401,train,44b1b133-72b2-416f-ad06-3ac237551640,TRAIN_DEPARTURE,,T4,2026-05-29T17:31:42.972953,36,
1123,POSEIDON_X,ship,2edb22e4-0cc5-40e9-9504-3605b1592fec,SHIP_DEPARTURE,Singapore,T2,2026-05-29T17:31:51.972953,,
,CONT_708346,container,effc0c41-1536-4fee-a5c1-3f2b95fd612f,CONTAINER_SCAN,,T4,2026-05-29T17:32:11.972953,,12.88
,MEDWAY_778,train,3fd98a8e-7029-47a1-889f-ab12de6f9ca0,TRAIN_ARRIVAL,,T3,2026-05-29T17:32:38.972953,20,
,CONT_622409,container,37b04979-698a-4f70-8c32-d203bb5cf29a,CONTAINER_SCAN,,T3,2026-05-29T17:35:31.972953,,27.21
,TAKARGO_991,train,a471becf-53cb-42a8-a1fe-d71f57428fda,TRAIN_ARRIVAL,,T1,2026-05-29T17:35:48.972953,28,
410,EVER_GLOBE,ship,787de1f0-dd8d-4abf-91c5-cd8d28e22fc7,SHIP_UNDOCKED,Shanghai,T1,2026-05-29T17:36:43.972953,,
1713,EVER_GLOBE,ship,32c0846a-7c83-4d3f-9963-f3213176a9fc,SHIP_DEPARTURE,Rotterdam,T2,2026-05-29T17:37:54.972953,,
,CONT_723377,container,92703053-4a2b-4446-9cb1-4a7521ab8b95,CONTAINER_TRANSFER,,T3,2026-05-29T17:38:52.972953,,5.25
,CONT_110752,container,7c773329-492f-4374-8b10-b434c111fae7,CONTAINER_UNLOAD,,T4,2026-05-29T17:40:24.972953,,20.29
,CP_4401,train,25079c67-1121-455f-bd3b-31650d432957,TRAIN_ARRIVAL,,T3,2026-05-29T17:40:35.972953,20,
,CP_4401,train,f2b284e7-7050-43f2-bcd4-a6a7ce4e9f2b,TRAIN_LOADING,,T1,2026-05-29T17:41:43.972953,22,
,CP_4401,train,6eb4e24f-8e6d-465f-85a5-72c6d84af9ec,TRAIN_LOADING,,T2,2026-05-29T17:42:10.972953,25,
,TAKARGO_991,train,2c6c15f6-11ef-446a-a862-3b4aefe2e004,TRAIN_LOADING,,T4,2026-05-29T17:43:48.972953,39,
1255,POSEIDON_X,ship,b426152c-36da-4b73-bbc0-6d30d548b53e,SHIP_DEPARTURE,Singapore,T2,2026-05-29T17:44:15.972953,,
,TAKARGO_991,train,e6dadf5a-347c-4e02-a603-7e6abbb073c1,TRAIN_UNLOADING,,T1,2026-05-29T17:45:16.972953,21,
1795,EVER_GLOBE,ship,0ca3e1bb-b93c-4775-bfbb-2dd31c9f0f65,SHIP_DOCKED,Hamburg,T4,2026-05-29T17:45:18.972953,,
1932,POSEIDON_X,ship,5d4617be-452f-40e3-9aaa-0679d34e2d97,SHIP_ARRIVAL,Rotterdam,T2,2026-05-29T17:46:51.972953,,
,CONT_903173,container,d89be66b-6e7f-44d8-a2e1-529deeba4989,CONTAINER_SCAN,,T3,2026-05-29T17:47:40.972953,,16.46
1619,POSEIDON_X,ship,928ec241-9840-40ba-81ed-48109b6cde15,SHIP_ARRIVAL,Rotterdam,T1,2026-05-29T17:48:09.972953,,
1426,POSEIDON_X,ship,df174c52-c77f-487d-9e32-f61b10729a0e,SHIP_DOCKED,Rotterdam,T3,2026-05-29T17:48:24.972953,,
,CONT_582282,container,fb9484ab-0535-4abe-8f7d-04dc3ae06fd4,CONTAINER_TRANSFER,,T3,2026-05-29T17:48:48.972953,,14.1
,CONT_538855,container,16eb05a8-7114-4980-aeb0-d9e3726a0ac2,CONTAINER_LOAD,,T2,2026-05-29T17:51:52.972953,,10.82
,CONT_293570,container,ef8aed63-b19a-49b9-9c70-2415fc183d11,CONTAINER_SCAN,,T2,2026-05-29T17:51:52.972953,,16.66
1224,MAERSK_NEXUS,ship,6abba902-4d71-45e9-b9ca-d357383c4d80,SHIP_DEPARTURE,Shanghai,T4,2026-05-29T17:52:07.972953,,
,MEDWAY_778,train,dd4e0acb-70da-4071-892e-220d0f7fc6d4,TRAIN_UNLOADING,,T3,2026-05-29T17:53:03.972953,30,
677,EVER_GLOBE,ship,ca1dcdd7-005f-46ab-ae81-ac06e88f6125,SHIP_DEPARTURE,Rotterdam,T2,2026-05-29T17:53:32.972953,,
1142,POSEIDON_X,ship,1b549d17-4445-4d29-9144-159d9089e033,SHIP_ARRIVAL,Singapore,T3,2026-05-29T17:54:40.972953,,
,CONT_410885,container,39f5ae66-36fd-4440-a81c-bc1f53e438ab,CONTAINER_LOAD,,T1,2026-05-29T17:54:42.972953,,5.23
1351,MAERSK_NEXUS,ship,decc25d2-6ad2-45b2-a49e-b4bf92322399,SHIP_DEPARTURE,Rotterdam,T1,2026-05-29T17:55:15.972953,,
,CONT_309199,container,a72c227c-681b-406e-87f3-baf7e5a3eb34,CONTAINER_LOAD,,T3,2026-05-29T17:55:34.972953,,20.45
388,POSEIDON_X,ship,2f853932-98fb-4d37-833c-21694ab42486,SHIP_ARRIVAL,Rotterdam,T4,2026-05-29T17:56:04.972953,,
1508,MSC_ATLAS,ship,3567677c-b2fa-4644-9cb2-4ca5234eef4f,SHIP_ARRIVAL,Hamburg,T1,2026-05-29T17:57:08.972953,,
,TAKARGO_991,train,cb32e491-475d-4bd5-a04a-32824090f769,TRAIN_UNLOADING,,T1,2026-05-29T17:57:30.972953,34,
,MEDWAY_778,train,754d7769-8464-42b3-ad4c-76f25de6c9a4,TRAIN_LOADING,,T2,2026-05-29T17:57:48.972953,33,
405,MSC_ATLAS,ship,6fd24758-ec77-41d5-ac96-1918899a1086,SHIP_ARRIVAL,Singapore,T3,2026-05-29T17:57:59.972953,,
,CP_4401,train,d75e496f-4c83-41fc-a304-c459cb78d095,TRAIN_UNLOADING,,T3,2026-05-29T17:59:11.972953,27,
221,MSC_ATLAS,ship,8525404c-2514-4737-81c7-1a55d54ffb85,SHIP_UNDOCKED,Rotterdam,T1,2026-05-29T18:00:25.972953,,
1565,POSEIDON_X,ship,91f9be8d-0174-4378-bd60-3adbb7e2f195,SHIP_DOCKED,Valencia,T3,2026-05-29T18:00:57.972953,,
,CONT_794202,container,0b82afaa-de7c-4688-a4a0-93fd56688df8,CONTAINER_UNLOAD,,T4,2026-05-29T18:01:09.972953,,13.68
,CP_4401,train,f5f1af14-be45-4dbe-ae22-503d18e8946f,TRAIN_DEPARTURE,,T3,2026-05-29T18:01:38.972953,16,
,CONT_621187,container,073682fe-dc84-4ff8-a94b-c8da846448d4,CONTAINER_TRANSFER,,T2,2026-05-29T18:01:49.972953,,13.4
,CONT_807346,container,230477df-08e3-4d60-95fc-c7a5d32f4543,CONTAINER_UNLOAD,,T2,2026-05-29T18:02:29.972953,,24.29
,CONT_406610,container,d32360d6-d976-481f-a24c-8902b3193a7e,CONTAINER_UNLOAD,,T1,2026-05-29T18:02:43.972953,,9.54
,CP_4401,train,b2afb0f7-07d1-492f-9664-a5cbee9262eb,TRAIN_DEPARTURE,,T2,2026-05-29T18:03:26.972953,39,
1149,MSC_ATLAS,ship,18e3e87b-f197-46b8-9015-576dee76a460,SHIP_DEPARTURE,Singapore,T4,2026-05-29T18:03:44.972953,,
,CP_4401,train,9f53922c-7843-490e-a1dc-1588417238fb,TRAIN_LOADING,,T2,2026-05-29T18:04:07.972953,38,
,MEDWAY_778,train,8e0d63e9-897b-4e31-b2ec-447bfb56b1e0,TRAIN_LOADING,,T1,2026-05-29T18:04:40.972953,39,
,CONT_999823,container,99058877-e1fd-4859-921c-723301fbfd6e,CONTAINER_SCAN,,T2,2026-05-29T18:05:01.972953,,14.73
612,POSEIDON_X,ship,ecf583c9-6b8f-4107-8d38-51a795712a90,SHIP_DOCKED,Valencia,T2,2026-05-29T18:05:57.972953,,
243,EVER_GLOBE,ship,1a6bf1e8-819b-4cf5-babd-4654f30f7cf2,SHIP_ARRIVAL,Rotterdam,T2,2026-05-29T18:06:53.972953,,
,CONT_366194,container,a23bdb62-e2a5-4de0-b82e-037f491b2863,CONTAINER_SCAN,,T1,2026-05-29T18:07:25.972953,,13.54
898,POSEIDON_X,ship,325971ca-18b1-4fc8-97a8-ebd94ee5e078,SHIP_DOCKED,Shanghai,T4,2026-05-29T18:10:00.972953,,
856,EVER_GLOBE,ship,2af1f8b4-9b0f-40f8-889d-6b6f9d7df702,SHIP_DOCKED,Valencia,T4,2026-05-29T18:10:58.972953,,
,CP_4401,train,0e4ec9dd-a7dd-4976-9f56-2a4d8b787efd,TRAIN_UNLOADING,,T1,2026-05-29T18:12:24.972953,22,
,CP_4401,train,9b29935b-5452-4f33-945e-3f0c305ae1ea,TRAIN_UNLOADING,,T1,2026-05-29T18:14:31.972953,32,
,MEDWAY_778,train,7361c3a7-f5c3-461f-868f-d83accbed59f,TRAIN_DEPARTURE,,T1,2026-05-29T18:14:31.972953,38,
292,MAERSK_NEXUS,ship,7388a4a1-045d-4a98-bf2f-ae4cfd7b3ebe,SHIP_DOCKED,Shanghai,T3,2026-05-29T18:14:55.972953,,
,MEDWAY_778,train,6ea85364-1676-44e6-8317-2e48980e22c1,TRAIN_LOADING,,T2,2026-05-29T18:17:13.972953,19,
,MEDWAY_778,train,ef1969e9-606e-4585-b082-e30c864308fe,TRAIN_ARRIVAL,,T1,2026-05-29T18:17:16.972953,17,
,CONT_182647,container,6c9d9b0e-17df-41e7-836c-dec89e7370c0,CONTAINER_SCAN,,T3,2026-05-29T18:17:39.972953,,29.66
,CONT_506726,container,1083d1e3-2ad5-45b8-b8be-1db5f0e03a7f,CONTAINER_LOAD,,T4,2026-05-29T18:21:22.972953,,5.82
,CONT_669741,container,d6490fb8-cc9c-4966-a9ef-92963a01c241,CONTAINER_TRANSFER,,T2,2026-05-29T18:21:54.972953,,25.22
1260,MAERSK_NEXUS,ship,3b62af4b-9b1b-4690-84ad-dfc5480fb535,SHIP_ARRIVAL,Rotterdam,T4,2026-05-29T18:22:45.972953,,
,CONT_486329,container,bcf398bf-2f7f-4ce7-b815-6825de800983,CONTAINER_UNLOAD,,T1,2026-05-29T18:22:46.972953,,12.62
,TAKARGO_991,train,77ed7c6e-512d-40de-9631-276eadafd498,TRAIN_DEPARTURE,,T1,2026-05-29T18:22:47.972953,37,
,CONT_261242,container,1639e83b-b1fb-40ba-a4d6-f2bb88b196a9,CONTAINER_TRANSFER,,T4,2026-05-29T18:24:48.972953,,28.58
359,EVER_GLOBE,ship,d3325b63-ef53-4b50-8e5c-eb57a2c1f9fa,SHIP_DOCKED,Singapore,T3,2026-05-29T18:25:07.972953,,
,MEDWAY_778,train,968ad7f8-29e9-4471-9608-cc3b00b05bd7,TRAIN_UNLOADING,,T1,2026-05-29T18:25:31.972953,11,
,CONT_652381,container,bb17a7f0-1743-4a81-96ad-af152630cc2a,CONTAINER_LOAD,,T4,2026-05-29T18:25:40.972953,,14.8
,CONT_490809,container,a974e915-dcb1-4950-aa14-2ac278dad49d,CONTAINER_TRANSFER,,T1,2026-05-29T18:25:49.972953,,18.6
,TAKARGO_991,train,fd7cdd84-f4b5-4ecb-8a90-24522f61bca6,TRAIN_ARRIVAL,,T1,2026-05-29T18:26:29.972953,35,
,CP_4401,train,6b4cd46f-c771-4ce4-8dc7-9d569d7f048d,TRAIN_DEPARTURE,,T3,2026-05-29T18:26:45.972953,21,
,CONT_211152,container,a0438d9c-6fbe-4c33-bb15-960c03ccd5b9,CONTAINER_LOAD,,T4,2026-05-29T18:27:17.972953,,5.64
,MEDWAY_778,train,a0e6a075-5cd9-4912-b0a5-0524db2544fc,TRAIN_ARRIVAL,,T3,2026-05-29T18:27:23.972953,34,
,CONT_233282,container,f39121cd-1cae-437b-9bd6-79f280edf4c1,CONTAINER_UNLOAD,,T2,2026-05-29T18:28:31.972953,,19.74
740,MAERSK_NEXUS,ship,7e90aa75-8f7c-42f6-a18f-2f23539f392c,SHIP_DEPARTURE,Rotterdam,T1,2026-05-29T18:29:07.972953,,
1607,MSC_ATLAS,ship,3330287b-758d-4fb1-9b52-3ab5c2011c84,SHIP_DOCKED,Shanghai,T3,2026-05-29T18:29:15.972953,,
1332,POSEIDON_X,ship,829bc9f8-4bec-4cf9-9dd0-cb3dcdcb271f,SHIP_UNDOCKED,Valencia,T2,2026-05-29T18:29:57.972953,,
227,EVER_GLOBE,ship,8a001235-6778-4e06-a37c-a92faffc1481,SHIP_DOCKED,Singapore,T1,2026-05-29T18:30:39.972953,,
857,EVER_GLOBE,ship,58828b7e-3f8a-4667-9cd5-31d8a1c7d131,SHIP_DEPARTURE,Valencia,T4,2026-05-29T18:30:54.972953,,
,MEDWAY_778,train,d8b17612-b500-4b89-a989-93ed8ba4f452,TRAIN_DEPARTURE,,T4,2026-05-29T18:31:31.972953,36,
1608,MAERSK_NEXUS,ship,6a4b6103-6cd6-4c39-963d-789be8dcc27c,SHIP_DEPARTURE,Hamburg,T3,2026-05-29T18:32:51.972953,,
,CP_4401,train,3b1ca572-4a5c-4146-be05-86ee0b7493d7,TRAIN_UNLOADING,,T1,2026-05-29T18:33:35.972953,32,
265,MSC_ATLAS,ship,4a4c4bb9-0e3c-4aa1-bdda-7cb877acd16d,SHIP_UNDOCKED,Singapore,T2,2026-05-29T18:33:50.972953,,
,TAKARGO_991,train,4774c636-a294-462a-8bce-c02846e4f279,TRAIN_UNLOADING,,T2,2026-05-29T18:35:04.972953,22,
,CONT_955198,container,b62eb471-9cbb-4a2b-9f89-bef903ec2b12,CONTAINER_SCAN,,T4,2026-05-29T18:35:36.972953,,21.81
,CP_4401,train,17eb77c9-73b4-4cda-975c-87cbe2e721e6,TRAIN_DEPARTURE,,T3,2026-05-29T18:36:31.972953,25,
829,POSEIDON_X,ship,8366e46c-7866-46e0-8459-7f3b73957968,SHIP_DOCKED,Shanghai,T2,2026-05-29T18:36:50.972953,,
