event_type,entity_id,entity_type,terminal,timestamp
SHIP_ARRIVAL,MAERSK_NEXUS,ship,T2,2026-05-29T17:15:04.972953
CONTAINER_UNLOAD,CONT_122386,container,T2,2026-05-29T17:15:13.972953
CONTAINER_UNLOAD,CONT_223275,container,T2,2026-05-29T17:15:33.972953
SHIP_DOCKED,EVER_GLOBE,ship,T3,2026-05-29T17:15:33.972953
CONTAINER_LOAD,CONT_147889,container,T1,2026-05-29T17:16:09.972953
CONTAINER_UNLOAD,CONT_239526,container,T4,2026-05-29T17:16:30.972953
CONTAINER_SCAN,CONT_770060,container,T3,2026-05-29T17:17:27.972953
CONTAINER_UNLOAD,CONT_861295,container,T3,2026-05-29T17:17:56.972953
SHIP_ARRIVAL,MSC_ATLAS,ship,T1,2026-05-29T17:20:24.972953
SHIP_DEPARTURE,MSC_ATLAS,ship,T2,2026-05-29T17:21:00.972953
TRAIN_LOADING,MEDWAY_778,train,T3,2026-05-29T17:22:09.972953
TRAIN_ARRIVAL,CP_4401,train,T1,2026-05-29T17:22:32.972953
CONTAINER_UNLOAD,CONT_441274,container,T3,2026-05-29T17:25:20.972953
CONTAINER_LOAD,CONT_659668,container,T3,2026-05-29T17:25:20.972953
SHIP_DEPARTURE,EVER_GLOBE,ship,T4,2026-05-29T17:26:00.972953
SHIP_ARRIVAL,POSEIDON_X,ship,T3,2026-05-29T17:26:46.972953
SHIP_DEPARTURE,POSEIDON_X,ship,T1,2026-05-29T17:26:54.972953
SHIP_ARRIVAL,POSEIDON_X,ship,T4,2026-05-29T17:27:55.972953
SHIP_UNDOCKED,MAERSK_NEXUS,ship,T1,2026-05-29T17:29:29.972953
TRAIN_ARRIVAL,CP_4401,train,T2,2026-05-29T17:30:13.972953
TRAIN_LOADING,TAKARGO_991,train,T2,2026-05-29T17:30:15.972953
TRAIN_DEPARTURE,MEDWAY_778,train,T1,2026-05-29T17:30:19.972953
TRAIN_DEPARTURE,CP_4401,train,T4,2026-05-29T17:31:42.972953
SHIP_DEPARTURE,POSEIDON_X,ship,T2,2026-05-29T17:31:51.972953
CONTAINER_SCAN,CONT_708346,container,T4,2026-05-29T17:32:11.972953
TRAIN_ARRIVAL,MEDWAY_778,train,T3,2026-05-29T17:32:38.972953
CONTAINER_SCAN,CONT_622409,container,T3,2026-05-29T17:35:31.972953
TRAIN_ARRIVAL,TAKARGO_991,train,T1,2026-05-29T17:35:48.972953
SHIP_UNDOCKED,EVER_GLOBE,ship,T1,2026-05-29T17:36:43.972953
SHIP_DEPARTURE,EVER_GLOBE,ship,T2,2026-05-29T17:37:54.972953
CONTAINER_TRANSFER,CONT_723377,container,T3,2026-05-29T17:38:52.972953
CONTAINER_UNLOAD,CONT_110752,container,T4,2026-05-29T17:40:24.972953
TRAIN_ARRIVAL,CP_4401,train,T3,2026-05-29T17:40:35.972953
TRAIN_LOADING,CP_4401,train,T1,2026-05-29T17:41:43.972953
TRAIN_LOADING,CP_4401,train,T2,2026-05-29T17:42:10.972953
TRAIN_LOADING,TAKARGO_991,train,T4,2026-05-29T17:43:48.972953
SHIP_DEPARTURE,POSEIDON_X,ship,T2,2026-05-29T17:44:15.972953
TRAIN_UNLOADING,TAKARGO_991,train,T1,2026-05-29T17:45:16.972953
SHIP_DOCKED,EVER_GLOBE,ship,T4,2026-05-29T17:45:18.972953
SHIP_ARRIVAL,POSEIDON_X,ship,T2,2026-05-29T17:46:51.972953
CONTAINER_SCAN,CONT_903173,container,T3,2026-05-29T17:47:40.972953
SHIP_ARRIVAL,POSEIDON_X,ship,T1,2026-05-29T17:48:09.972953
SHIP_DOCKED,POSEIDON_X,ship,T3,2026-05-29T17:48:24.972953
CONTAINER_TRANSFER,CONT_582282,container,T3,2026-05-29T17:48:48.972953
CONTAINER_LOAD,CONT_538855,container,T2,2026-05-29T17:51:52.972953
CONTAINER_SCAN,CONT_293570,container,T2,2026-05-29T17:51:52.972953
SHIP_DEPARTURE,MAERSK_NEXUS,ship,T4,2026-05-29T17:52:07.972953
TRAIN_UNLOADING,MEDWAY_778,train,T3,2026-05-29T17:53:03.972953
SHIP_DEPARTURE,EVER_GLOBE,ship,T2,2026-05-29T17:53:32.972953
SHIP_ARRIVAL,POSEIDON_X,ship,T3,2026-05-29T17:54:40.972953
CONTAINER_LOAD,CONT_410885,container,T1,2026-05-29T17:54:42.972953
SHIP_DEPARTURE,MAERSK_NEXUS,ship,T1,2026-05-29T17:55:15.972953
CONTAINER_LOAD,CONT_309199,container,T3,2026-05-29T17:55:34.972953
SHIP_ARRIVAL,POSEIDON_X,ship,T4,2026-05-29T17:56:04.972953
SHIP_ARRIVAL,MSC_ATLAS,ship,T1,2026-05-29T17:57:08.972953
TRAIN_UNLOADING,TAKARGO_991,train,T1,2026-05-29T17:57:30.972953
TRAIN_LOADING,MEDWAY_778,train,T2,2026-05-29T17:57:48.972953
SHIP_ARRIVAL,MSC_ATLAS,ship,T3,2026-05-29T17:57:59.972953
TRAIN_UNLOADING,CP_4401,train,T3,2026-05-29T17:59:11.972953
SHIP_UNDOCKED,MSC_ATLAS,ship,T1,2026-05-29T18:00:25.972953
SHIP_DOCKED,POSEIDON_X,ship,T3,2026-05-29T18:00:57.972953
CONTAINER_UNLOAD,CONT_794202,container,T4,2026-05-29T18:01:09.972953
TRAIN_DEPARTURE,CP_4401,train,T3,2026-05-29T18:01:38.972953
CONTAINER_TRANSFER,CONT_621187,container,T2,2026-05-29T18:01:49.972953
CONTAINER_UNLOAD,CONT_807346,container,T2,2026-05-29T18:02:29.972953
CONTAINER_UNLOAD,CONT_406610,container,T1,2026-05-29T18:02:43.972953
TRAIN_DEPARTURE,CP_4401,train,T2,2026-05-29T18:03:26.972953
SHIP_DEPARTURE,MSC_ATLAS,ship,T4,2026-05-29T18:03:44.972953
TRAIN_LOADING,CP_4401,train,T2,2026-05-29T18:04:07.972953
TRAIN_LOADING,MEDWAY_778,train,T1,2026-05-29T18:04:40.972953
CONTAINER_SCAN,CONT_999823,container,T2,2026-05-29T18:05:01.972953
SHIP_DOCKED,POSEIDON_X,ship,T2,2026-05-29T18:05:57.972953
SHIP_ARRIVAL,EVER_GLOBE,ship,T2,2026-05-29T18:06:53.972953
CONTAINER_SCAN,CONT_366194,container,T1,2026-05-29T18:07:25.972953
SHIP_DOCKED,POSEIDON_X,ship,T4,2026-05-29T18:10:00.972953
SHIP_DOCKED,EVER_GLOBE,ship,T4,2026-05-29T18:10:58.972953
TRAIN_UNLOADING,CP_4401,train,T1,2026-05-29T18:12:24.972953
TRAIN_UNLOADING,CP_4401,train,T1,2026-05-29T18:14:31.972953
TRAIN_DEPARTURE,MEDWAY_778,train,T1,2026-05-29T18:14:31.972953
SHIP_DOCKED,MAERSK_NEXUS,ship,T3,2026-05-29T18:14:55.972953
TRAIN_LOADING,MEDWAY_778,train,T2,2026-05-29T18:17:13.972953
TRAIN_ARRIVAL,MEDWAY_778,train,T1,2026-05-29T18:17:16.972953
CONTAINER_SCAN,CONT_182647,container,T3,2026-05-29T18:17:39.972953
CONTAINER_LOAD,CONT_506726,container,T4,2026-05-29T18:21:22.972953
CONTAINER_TRANSFER,CONT_669741,container,T2,2026-05-29T18:21:54.972953
SHIP_ARRIVAL,MAERSK_NEXUS,ship,T4,2026-05-29T18:22:45.972953
CONTAINER_UNLOAD,CONT_486329,container,T1,2026-05-29T18:22:46.972953
TRAIN_DEPARTURE,TAKARGO_991,train,T1,2026-05-29T18:22:47.972953
CONTAINER_TRANSFER,CONT_261242,container,T4,2026-05-29T18:24:48.972953
SHIP_DOCKED,EVER_GLOBE,ship,T3,2026-05-29T18:25:07.972953
TRAIN_UNLOADING,MEDWAY_778,train,T1,2026-05-29T18:25:31.972953
CONTAINER_LOAD,CONT_652381,container,T4,2026-05-29T18:25:40.972953
CONTAINER_TRANSFER,CONT_490809,container,T1,2026-05-29T18:25:49.972953
TRAIN_ARRIVAL,TAKARGO_991,train,T1,2026-05-29T18:26:29.972953
TRAIN_DEPARTURE,CP_4401,train,T3,2026-05-29T18:26:45.972953
CONTAINER_LOAD,CONT_211152,container,T4,2026-05-29T18:27:17.972953
TRAIN_ARRIVAL,MEDWAY_778,train,T3,2026-05-29T18:27:23.972953
CONTAINER_UNLOAD,CONT_233282,container,T2,2026-05-29T18:28:31.972953
SHIP_DEPARTURE,MAERSK_NEXUS,ship,T1,2026-05-29T18:29:07.972953
SHIP_DOCKED,MSC_ATLAS,ship,T3,2026-05-29T18:29:15.972953
SHIP_UNDOCKED,POSEIDON_X,ship,T2,2026-05-29T18:29:57.972953
SHIP_DOCKED,EVER_GLOBE,ship,T1,2026-05-29T18:30:39.972953
SHIP_DEPARTURE,EVER_GLOBE,ship,T4,2026-05-29T18:30:54.972953
TRAIN_DEPARTURE,MEDWAY_778,train,T4,2026-05-29T18:31:31.972953
SHIP_DEPARTURE,MAERSK_NEXUS,ship,T3,2026-05-29T18:32:51.972953
TRAIN_UNLOADING,CP_4401,train,T1,2026-05-29T18:33:35.972953
SHIP_UNDOCKED,MSC_ATLAS,ship,T2,2026-05-29T18:33:50.972953
TRAIN_UNLOADING,TAKARGO_991,train,T2,2026-05-29T18:35:04.972953
CONTAINER_SCAN,CONT_955198,container,T4,2026-05-29T18:35:36.972953
TRAIN_DEPARTURE,CP_4401,train,T3,2026-05-29T18:36:31.972953
SHIP_DOCKED,POSEIDON_X,ship,T2,2026-05-29T18:36:50.972953
SHIP_ARRIVAL,POSEIDON_X,ship,T3,2026-05-29T18:37:15.972953
TRAIN_DEPARTURE,TAKARGO_991,train,T4,2026-05-29T18:39:39.972953
TRAIN_LOADING,MEDWAY_778,train,T3,2026-05-29T18:40:06.972953
TRAIN_DEPARTURE,CP_4401,train,T4,2026-05-29T18:40:59.972953
CONTAINER_TRANSFER,CONT_326830,container,T4,2026-05-29T18:42:27.972953
TRAIN_ARRIVAL,CP_4401,train,T4,2026-05-29T18:42:44.972953
TRAIN_LOADING,MEDWAY_778,train,T2,2026-05-29T18:42:57.972953
SHIP_DEPARTURE,POSEIDON_X,ship,T1,2026-05-29T18:43:23.972953
TRAIN_LOADING,MEDWAY_778,train,T1,2026-05-29T18:44:08.972953
TRAIN_DEPARTURE,MEDWAY_778,train,T3,2026-05-29T18:44:14.972953
CONTAINER_TRANSFER,CONT_637479,container,T3,2026-05-29T18:44:29.972953
TRAIN_ARRIVAL,TAKARGO_991,train,T3,2026-05-29T18:44:33.972953
CONTAINER_TRANSFER,CONT_303542,container,T1,2026-05-29T18:44:57.972953
CONTAINER_LOAD,CONT_747906,container,T1,2026-05-29T18:46:43.972953
SHIP_DOCKED,EVER_GLOBE,ship,T1,2026-05-29T18:47:07.972953
SHIP_UNDOCKED,EVER_GLOBE,ship,T2,2026-05-29T18:47:31.972953
SHIP_DOCKED,MAERSK_NEXUS,ship,T1,2026-05-29T18:48:23.972953
SHIP_UNDOCKED,EVER_GLOBE,ship,T3,2026-05-29T18:48:48.972953
TRAIN_DEPARTURE,MEDWAY_778,train,T2,2026-05-29T18:49:10.972953
CONTAINER_SCAN,CONT_799767,container,T1,2026-05-29T18:49:14.972953
TRAIN_LOADING,TAKARGO_991,train,T2,2026-05-29T18:49:18.972953
SHIP_UNDOCKED,MAERSK_NEXUS,ship,T3,2026-05-29T18:52:27.972953
SHIP_UNDOCKED,MAERSK_NEXUS,ship,T3,2026-05-29T18:53:09.972953
TRAIN_LOADING,MEDWAY_778,train,T2,2026-05-29T18:53:22.972953
TRAIN_UNLOADING,CP_4401,train,T1,2026-05-29T18:53:49.972953
SHIP_DEPARTURE,POSEIDON_X,ship,T3,2026-05-29T18:53:49.972953
CONTAINER_TRANSFER,CONT_320844,container,T3,2026-05-29T18:54:32.972953
CONTAINER_UNLOAD,CONT_407012,container,T1,2026-05-29T18:54:44.972953
CONTAINER_LOAD,CONT_479232,container,T3,2026-05-29T18:55:52.972953
TRAIN_DEPARTURE,MEDWAY_778,train,T4,2026-05-29T18:55:56.972953
SHIP_DOCKED,MAERSK_NEXUS,ship,T2,2026-05-29T18:58:19.972953
CONTAINER_SCAN,CONT_745494,container,T2,2026-05-29T18:58:20.972953
CONTAINER_UNLOAD,CONT_638093,container,T4,2026-05-29T18:58:34.972953
CONTAINER_TRANSFER,CONT_599472,container,T4,2026-05-29T18:58:49.972953
CONTAINER_LOAD,CONT_211459,container,T4,2026-05-29T18:59:09.972953
TRAIN_DEPARTURE,CP_4401,train,T4,2026-05-29T18:59:54.972953
TRAIN_DEPARTURE,MEDWAY_778,train,T4,2026-05-29T19:00:23.972953
CONTAINER_LOAD,CONT_249412,container,T2,2026-05-29T19:03:40.972953
CONTAINER_UNLOAD,CONT_148064,container,T1,2026-05-29T19:04:17.972953
SHIP_UNDOCKED,MAERSK_NEXUS,ship,T4,2026-05-29T19:05:11.972953
SHIP_DEPARTURE,MAERSK_NEXUS,ship,T1,2026-05-29T19:05:23.972953
CONTAINER_SCAN,CONT_112810,container,T2,2026-05-29T19:06:07.972953
SHIP_UNDOCKED,MAERSK_NEXUS,ship,T1,2026-05-29T19:06:17.972953
SHIP_DEPARTURE,MSC_ATLAS,ship,T1,2026-05-29T19:06:21.972953
CONTAINER_TRANSFER,CONT_449977,container,T1,2026-05-29T19:06:37.972953
SHIP_DEPARTURE,MSC_ATLAS,ship,T4,2026-05-29T19:06:42.972953
SHIP_ARRIVAL,MAERSK_NEXUS,ship,T3,2026-05-29T19:07:23.972953
TRAIN_UNLOADING,TAKARGO_991,train,T4,2026-05-29T19:08:08.972953
TRAIN_UNLOADING,CP_4401,train,T3,2026-05-29T19:08:31.972953
TRAIN_ARRIVAL,MEDWAY_778,train,T3,2026-05-29T19:09:37.972953
TRAIN_UNLOADING,MEDWAY_778,train,T1,2026-05-29T19:10:30.972953
TRAIN_LOADING,TAKARGO_991,train,T1,2026-05-29T19:12:03.972953
CONTAINER_UNLOAD,CONT_974760,container,T1,2026-05-29T19:13:09.972953
TRAIN_ARRIVAL,TAKARGO_991,train,T1,2026-05-29T19:13:34.972953
CONTAINER_SCAN,CONT_191084,container,T1,2026-05-29T19:14:00.972953
SHIP_DEPARTURE,EVER_GLOBE,ship,T4,2026-05-29T19:14:40.972953
TRAIN_UNLOADING,CP_4401,train,T4,2026-05-29T19:16:02.972953
SHIP_UNDOCKED,POSEIDON_X,ship,T3,2026-05-29T19:17:02.972953
SHIP_DEPARTURE,POSEIDON_X,ship,T4,2026-05-29T19:17:09.972953
CONTAINER_TRANSFER,CONT_448112,container,T1,2026-05-29T19:18:40.972953
TRAIN_DEPARTURE,CP_4401,train,T2,2026-05-29T19:18:49.972953
TRAIN_UNLOADING,TAKARGO_991,train,T1,2026-05-29T19:20:21.972953
TRAIN_DEPARTURE,TAKARGO_991,train,T4,2026-05-29T19:20:39.972953
CONTAINER_SCAN,CONT_411292,container,T1,2026-05-29T19:20:40.972953
SHIP_UNDOCKED,MSC_ATLAS,ship,T2,2026-05-29T19:21:12.972953
SHIP_UNDOCKED,MSC_ATLAS,ship,T2,2026-05-29T19:21:50.972953
CONTAINER_UNLOAD,CONT_590524,container,T3,2026-05-29T19:22:35.972953
TRAIN_DEPARTURE,TAKARGO_991,train,T1,2026-05-29T19:23:13.972953
CONTAINER_LOAD,CONT_812032,container,T1,2026-05-29T19:25:17.972953
SHIP_UNDOCKED,EVER_GLOBE,ship,T1,2026-05-29T19:25:29.972953
TRAIN_ARRIVAL,TAKARGO_991,train,T4,2026-05-29T19:25:50.972953
TRAIN_ARRIVAL,TAKARGO_991,train,T1,2026-05-29T19:26:32.972953
TRAIN_UNLOADING,TAKARGO_991,train,T1,2026-05-29T19:26:51.972953
SHIP_UNDOCKED,MAERSK_NEXUS,ship,T2,2026-05-29T19:26:56.972953
CONTAINER_UNLOAD,CONT_137578,container,T3,2026-05-29T19:27:10.972953
SHIP_ARRIVAL,MSC_ATLAS,ship,T4,2026-05-29T19:27:26.972953
TRAIN_ARRIVAL,MEDWAY_778,train,T3,2026-05-29T19:28:00.972953
CONTAINER_TRANSFER,CONT_333717,container,T3,2026-05-29T19:30:02.972953
CONTAINER_UNLOAD,CONT_644818,container,T3,2026-05-29T19:30:27.972953
TRAIN_ARRIVAL,TAKARGO_991,train,T2,2026-05-29T19:31:15.972953
TRAIN_LOADING,MEDWAY_778,train,T4,2026-05-29T19:31:34.972953
TRAIN_ARRIVAL,MEDWAY_778,train,T1,2026-05-29T19:31:52.972953
SHIP_DOCKED,POSEIDON_X,ship,T3,2026-05-29T19:33:37.972953
CONTAINER_TRANSFER,CONT_793796,container,T4,2026-05-29T19:33:40.972953
SHIP_UNDOCKED,EVER_GLOBE,ship,T1,2026-05-29T19:33:40.972953
TRAIN_UNLOADING,CP_4401,train,T2,2026-05-29T19:35:11.972953
SHIP_DOCKED,POSEIDON_X,ship,T3,2026-05-29T19:36:42.972953
TRAIN_DEPARTURE,CP_4401,train,T1,2026-05-29T19:37:29.972953
SHIP_DEPARTURE,POSEIDON_X,ship,T3,2026-05-29T19:39:21.972953
TRAIN_UNLOADING,TAKARGO_991,train,T3,2026-05-29T19:39:26.972953
TRAIN_UNLOADING,MEDWAY_778,train,T4,2026-05-29T19:39:27.972953
CONTAINER_LOAD,CONT_933532,container,T4,2026-05-29T19:40:13.972953
SHIP_ARRIVAL,MAERSK_NEXUS,ship,T2,2026-05-29T19:42:19.972953
CONTAINER_TRANSFER,CONT_950930,container,T3,2026-05-29T19:42:39.972953
CONTAINER_LOAD,CONT_115847,container,T3,2026-05-29T19:43:18.972953
CONTAINER_LOAD,CONT_121763,container,T3,2026-05-29T19:43:38.972953
SHIP_DOCKED,POSEIDON_X,ship,T4,2026-05-29T19:45:15.972953
TRAIN_DEPARTURE,CP_4401,train,T2,2026-05-29T19:45:22.972953
CONTAINER_SCAN,CONT_928557,container,T4,2026-05-29T19:45:29.972953
CONTAINER_UNLOAD,CONT_145373,container,T4,2026-05-29T19:46:24.972953
CONTAINER_UNLOAD,CONT_249708,container,T4,2026-05-29T19:47:16.972953
TRAIN_ARRIVAL,TAKARGO_991,train,T1,2026-05-29T19:47:45.972953
TRAIN_LOADING,CP_4401,train,T3,2026-05-29T19:48:02.972953
TRAIN_UNLOADING,TAKARGO_991,train,T3,2026-05-29T19:49:08.972953
CONTAINER_TRANSFER,CONT_821428,container,T1,2026-05-29T19:50:09.972953
CONTAINER_LOAD,CONT_358866,container,T1,2026-05-29T19:50:10.972953
TRAIN_UNLOADING,CP_4401,train,T3,2026-05-29T19:50:26.972953
TRAIN_ARRIVAL,MEDWAY_778,train,T4,2026-05-29T19:50:56.972953
SHIP_ARRIVAL,MAERSK_NEXUS,ship,T1,2026-05-29T19:51:53.972953
TRAIN_UNLOADING,MEDWAY_778,train,T3,2026-05-29T19:51:59.972953
CONTAINER_TRANSFER,CONT_926110,container,T1,2026-05-29T19:52:14.972953
TRAIN_ARRIVAL,TAKARGO_991,train,T2,2026-05-29T19:53:09.972953
CONTAINER_UNLOAD,CONT_687279,container,T1,2026-05-29T19:53:29.972953
CONTAINER_SCAN,CONT_890021,container,T1,2026-05-29T19:55:25.972953
TRAIN_DEPARTURE,CP_4401,train,T1,2026-05-29T19:55:50.972953
SHIP_DEPARTURE,MAERSK_NEXUS,ship,T1,2026-05-29T19:56:05.972953
CONTAINER_SCAN,CONT_304902,container,T4,2026-05-29T19:56:10.972953
SHIP_ARRIVAL,MAERSK_NEXUS,ship,T3,2026-05-29T19:56:21.972953
TRAIN_ARRIVAL,TAKARGO_991,train,T3,2026-05-29T19:57:22.972953
CONTAINER_SCAN,CONT_694744,container,T1,2026-05-29T19:57:28.972953
SHIP_UNDOCKED,MAERSK_NEXUS,ship,T4,2026-05-29T19:58:14.972953
SHIP_DEPARTURE,EVER_GLOBE,ship,T2,2026-05-29T19:58:46.972953
TRAIN_UNLOADING,TAKARGO_991,train,T3,2026-05-29T19:59:52.972953
CONTAINER_SCAN,CONT_484218,container,T2,2026-05-29T20:01:24.972953
CONTAINER_SCAN,CONT_252145,container,T1,2026-05-29T20:02:10.972953
SHIP_ARRIVAL,EVER_GLOBE,ship,T3,2026-05-29T20:02:23.972953
TRAIN_LOADING,TAKARGO_991,train,T1,2026-05-29T20:03:36.972953
SHIP_UNDOCKED,MAERSK_NEXUS,ship,T4,2026-05-29T20:03:45.972953
CONTAINER_LOAD,CONT_836652,container,T4,2026-05-29T20:03:54.972953
CONTAINER_LOAD,CONT_279118,container,T1,2026-05-29T20:04:28.972953
TRAIN_UNLOADING,TAKARGO_991,train,T3,2026-05-29T20:05:43.972953
TRAIN_LOADING,CP_4401,train,T1,2026-05-29T20:06:01.972953
TRAIN_LOADING,TAKARGO_991,train,T1,2026-05-29T20:07:51.972953
TRAIN_DEPARTURE,TAKARGO_991,train,T2,2026-05-29T20:08:24.972953
SHIP_ARRIVAL,MSC_ATLAS,ship,T4,2026-05-29T20:09:06.972953
CONTAINER_UNLOAD,CONT_381100,container,T3,2026-05-29T20:09:28.972953
SHIP_DOCKED,EVER_GLOBE,ship,T4,2026-05-29T20:09:31.972953
TRAIN_ARRIVAL,CP_4401,train,T1,2026-05-29T20:09:46.972953
TRAIN_UNLOADING,TAKARGO_991,train,T2,2026-05-29T20:10:24.972953
SHIP_DEPARTURE,EVER_GLOBE,ship,T3,2026-05-29T20:10:26.972953
SHIP_ARRIVAL,MSC_ATLAS,ship,T3,2026-05-29T20:12:08.972953
SHIP_DOCKED,MAERSK_NEXUS,ship,T3,2026-05-29T20:13:24.972953
CONTAINER_SCAN,CONT_598898,container,T3,2026-05-29T20:14:15.972953
CONTAINER_SCAN,CONT_878487,container,T2,2026-05-29T20:14:26.972953
TRAIN_ARRIVAL,CP_4401,train,T1,2026-05-29T20:14:49.972953
CONTAINER_UNLOAD,CONT_806733,container,T2,2026-05-29T20:14:59.972953
SHIP_DOCKED,EVER_GLOBE,ship,T2,2026-05-29T20:15:20.972953
CONTAINER_TRANSFER,CONT_255939,container,T4,2026-05-29T20:16:46.972953
