timestamp_s,acc_x,acc_y,acc_z,gyro_roll,gyro_pitch,gyro_yaw,altitude_m,pressure_hPa,mag_north,mag_east,mag_down,roll_deg,pitch_deg,yaw_deg,speed_mps,flight_phase
0.2803,1.43412,0.13439,-9.57961,-0.00255,-0.001091,-0.002309,8.893,1012.1821,0.20078,0.12593,0.46571,0.0,8.0,45.0,1.051,takeoff
0.2903,1.40192,0.10343,-9.52789,-0.000773,-0.00537,-0.004073,8.821,1012.1908,0.20612,0.13046,0.4672,0.0,8.0,45.0,1.089,takeoff
0.3003,1.47024,-0.04436,-9.67033,-0.002321,0.001031,0.007844,9.045,1012.1639,0.20383,0.13189,0.46277,0.0,8.0,45.0,1.126,takeoff
0.3103,1.37315,0.00554,-9.81094,0.00256,0.00336,0.007386,9.6,1012.0973,0.2029,0.12096,0.47488,0.0,8.0,45.0,1.164,takeoff
0.3203,1.28427,-0.06009,-9.78244,-0.000586,-0.00109,0.009254,9.891,1012.0623,0.20339,0.13064,0.4712,0.0,8.0,45.0,1.201,takeoff
0.3303,1.47675,0.01275,-9.62648,-0.004422,-0.006799,-0.003952,10.267,1012.0172,0.19875,0.13184,0.47015,0.0,8.0,45.0,1.239,takeoff
0.3403,1.41701,-0.01313,-9.50147,-0.001477,-0.004885,0.00512,10.563,1011.9816,0.20439,0.12877,0.47004,0.0,8.0,45.0,1.276,takeoff
0.3504,1.41169,-0.04853,-9.55129,-0.000802,0.002746,0.00099,10.932,1011.9375,0.20923,0.1313,0.4658,0.0,8.0,45.0,1.314,takeoff
0.3604,1.39893,0.03698,-9.82595,0.001028,-0.0035,0.000519,11.368,1011.8851,0.20054,0.12085,0.47805,0.0,8.0,45.0,1.351,takeoff
0.3704,1.38326,0.05748,-9.81281,0.001315,-0.003896,0.001996,11.145,1011.9119,0.20899,0.12718,0.46971,0.0,8.0,45.0,1.389,takeoff
0.3804,1.3843,-0.04155,-9.58128,-0.002574,-0.000371,0.007783,11.934,1011.8171,0.19804,0.12288,0.47211,0.0,8.0,45.0,1.426,takeoff
0.3904,1.42594,-0.04098,-9.51296,0.000908,0.003829,0.000787,12.187,1011.7868,0.19923,0.12042,0.47361,0.0,8.0,45.0,1.464,takeoff
0.4004,1.44785,-0.05456,-9.64998,-0.003204,-0.002456,0.004065,12.247,1011.7796,0.20432,0.11991,0.46676,0.0,8.0,45.0,1.502,takeoff
0.4104,1.43367,-0.05099,-9.86138,2e-06,-0.006702,-0.001483,12.816,1011.7113,0.20485,0.13502,0.46952,0.0,8.0,45.0,1.539,takeoff
0.4204,1.34965,-0.01717,-9.92648,0.001561,-0.002053,0.00601,13.057,1011.6824,0.1999,0.13177,0.46869,0.0,8.0,45.0,1.577,takeoff
0.4304,1.35765,0.01212,-9.63141,0.005565,-0.000878,0.002163,13.348,1011.6475,0.21103,0.12948,0.4771,0.0,8.0,45.0,1.614,takeoff
0.4404,1.46016,0.03741,-9.47016,0.000678,-0.001806,0.006705,13.757,1011.5985,0.20552,0.1233,0.47732,0.0,8.0,45.0,1.652,takeoff
0.4505,1.43494,0.01013,-9.66381,0.001934,-0.001958,-0.000442,13.833,1011.5893,0.20689,0.12369,0.47452,0.0,8.0,45.0,1.689,takeoff
0.4605,1.411,-0.00543,-9.82339,0.003212,-0.001639,-0.002158,14.215,1011.5435,0.20629,0.13853,0.47729,0.0,8.0,45.0,1.727,takeoff
0.4705,1.38624,-0.03745,-9.78729,-0.002036,-0.007092,-0.001066,14.407,1011.5205,0.19504,0.12284,0.46876,0.0,8.0,45.0,1.764,takeoff
0.4805,1.39104,-0.03182,-9.64188,0.006142,0.000115,-0.000121,14.704,1011.4848,0.20542,0.12172,0.46615,0.0,8.0,45.0,1.802,takeoff
0.4905,1.48025,0.0083,-9.58645,0.00084,-0.0015,-0.004356,15.009,1011.4483,0.2099,0.12782,0.48115,0.0,8.0,45.0,1.839,takeoff
0.5005,1.45857,0.06794,-9.50419,0.003247,-0.001374,0.004488,15.231,1011.4216,0.2061,0.12232,0.47199,0.0,8.0,45.0,1.877,takeoff
0.5105,1.3143,-0.08793,-9.78691,0.000558,-0.007652,-0.002808,15.443,1011.3962,0.20115,0.12764,0.47109,0.0,8.0,45.0,1.914,takeoff
0.5205,1.40307,-0.01294,-9.74437,0.002823,-0.001243,0.004842,16.054,1011.323,0.20744,0.13192,0.45827,0.0,8.0,45.0,1.952,takeoff
0.5305,1.38605,-0.01508,-9.57078,0.005705,-0.006223,0.005783,16.04,1011.3246,0.19986,0.12439,0.46841,0.0,8.0,45.0,1.989,takeoff
0.5405,1.35191,0.06166,-9.49757,0.004158,-0.003166,0.001425,16.512,1011.268,0.214,0.11139,0.46522,0.0,8.0,45.0,2.027,takeoff
0.5506,1.39735,-0.05768,-9.6533,0.000621,-0.003847,0.00173,16.911,1011.2201,0.20438,0.1233,0.46917,0.0,8.0,45.0,2.065,takeoff
0.5606,1.34715,-0.13996,-9.78249,-0.000363,0.001898,0.003321,17.292,1011.1744,0.20051,0.12371,0.46379,0.0,8.0,45.0,2.102,takeoff
0.5706,1.31388,0.01119,-9.72607,-0.002447,-0.003251,0.00132,17.505,1011.1489,0.19676,0.11755,0.47245,0.0,8.0,45.0,2.14,takeoff
0.5806,1.30209,-0.02321,-9.62376,0.002252,-0.002319,0.000459,17.844,1011.1082,0.20699,0.12233,0.47019,0.0,8.0,45.0,2.177,takeoff
0.5906,1.44885,0.11516,-9.49207,0.004651,-0.00372,-1.2e-05,17.982,1011.0916,0.20485,0.12052,0.47633,0.0,8.0,45.0,2.215,takeoff
0.6006,1.44237,-0.01763,-9.60472,0.001666,0.000257,-0.00248,18.296,1011.054,0.20527,0.12868,0.46686,0.0,8.0,45.0,2.252,takeoff
0.6106,1.22334,-0.10636,-9.80629,0.001194,0.003155,0.003288,18.631,1011.0139,0.2054,0.13108,0.46705,0.0,8.0,45.0,2.29,takeoff
0.6206,1.34159,-0.10661,-9.7316,0.00217,-0.004026,0.001193,18.995,1010.9702,0.20431,0.12289,0.46673,0.0,8.0,45.0,2.327,takeoff
0.6306,1.41585,-0.01975,-9.65815,-0.003029,-0.001684,0.000984,19.171,1010.9491,0.20656,0.1293,0.47351,0.0,8.0,45.0,2.365,takeoff
0.6406,1.45772,0.01748,-9.55987,-0.002152,-0.003709,0.001586,19.401,1010.9215,0.20604,0.12074,0.4617,0.0,8.0,45.0,2.402,takeoff
0.6507,1.44042,-0.02468,-9.67522,-0.002291,-0.000673,0.005649,19.759,1010.8786,0.20449,0.13092,0.46095,0.0,8.0,45.0,2.44,takeoff
0.6607,1.44741,0.07084,-9.93659,0.000708,-0.004103,0.000725,20.057,1010.8428,0.20962,0.125,0.46545,0.0,8.0,45.0,2.477,takeoff
0.6707,1.33952,-0.02669,-9.86399,-0.003926,0.004029,-0.000397,20.4,1010.8018,0.20357,0.1283,0.47886,0.0,8.0,45.0,2.515,takeoff
0.6807,1.42663,-0.07865,-9.70841,-0.00018,-0.002758,-0.003631,20.843,1010.7486,0.20013,0.13303,0.4791,0.0,8.0,45.0,2.553,takeoff
0.6907,1.41737,0.05141,-9.59326,0.002891,-0.003437,-0.001732,20.977,1010.7325,0.20323,0.12394,0.47475,0.0,8.0,45.0,2.59,takeoff
0.7007,1.36116,0.08662,-9.69608,0.005867,-0.004993,0.001533,21.247,1010.7001,0.20384,0.12957,0.4775,0.0,8.0,45.0,2.628,takeoff
0.7107,1.40914,-0.07116,-9.7897,-0.001336,-0.004908,-0.001898,21.556,1010.6632,0.20681,0.116,0.46977,0.0,8.0,45.0,2.665,takeoff
0.7207,1.42307,0.00291,-9.8362,-0.003194,-0.000541,-0.005389,22.088,1010.5993,0.2045,0.13472,0.46137,0.0,8.0,45.0,2.703,takeoff
0.7307,1.44235,-0.00899,-9.65931,-0.003102,-0.000119,0.003593,22.49,1010.5512,0.2106,0.12259,0.46498,0.0,8.0,45.0,2.74,takeoff
0.7407,1.36135,0.1029,-9.57062,0.005431,-0.00035,0.002557,22.476,1010.5528,0.20887,0.12549,0.46815,0.0,8.0,45.0,2.778,takeoff
0.7508,1.43626,-0.00605,-9.66591,0.002784,-0.002126,0.003033,22.754,1010.5195,0.19952,0.13424,0.47773,0.0,8.0,45.0,2.815,takeoff
0.7608,1.39446,-0.06937,-9.81149,0.005138,-0.00301,-0.000336,23.404,1010.4416,0.20533,0.13441,0.46301,0.0,8.0,45.0,2.853,takeoff
0.7708,1.37239,0.04988,-9.80729,0.000214,-0.005463,0.004817,23.308,1010.4532,0.20509,0.11939,0.47778,0.0,8.0,45.0,2.89,takeoff
0.7808,1.45292,-0.00656,-9.70416,0.005609,-0.003052,-0.001734,23.459,1010.435,0.20233,0.11829,0.46689,0.0,8.0,45.0,2.928,takeoff
0.7908,1.4667,0.01048,-9.5143,-0.001162,-0.00175,0.007333,23.971,1010.3736,0.20749,0.11774,0.4776,0.0,8.0,45.0,2.965,takeoff
0.8008,1.37832,0.05455,-9.62913,0.002854,5.9e-05,0.000215,24.488,1010.3117,0.20177,0.12945,0.46805,0.0,8.0,45.0,3.003,takeoff
0.8108,1.3681,-0.07227,-9.79197,-0.002202,-0.001206,0.001708,24.543,1010.305,0.20529,0.12623,0.46692,0.0,8.0,45.0,3.041,takeoff
0.8208,1.33903,-0.10432,-9.69372,0.004191,-0.001143,0.005101,24.628,1010.2949,0.19278,0.12357,0.46311,0.0,8.0,45.0,3.078,takeoff
0.8308,1.38176,0.00445,-9.60415,-0.002399,-0.000752,0.001627,25.277,1010.2171,0.20296,0.13248,0.46948,0.0,8.0,45.0,3.116,takeoff
0.8408,1.5178,-0.01013,-9.49531,0.000822,-0.002924,0.003477,25.48,1010.1927,0.19225,0.11025,0.47636,0.0,8.0,45.0,3.153,takeoff
0.8509,1.46461,0.09773,-9.62026,-0.002873,-0.003206,0.001631,25.674,1010.1695,0.21381,0.13676,0.47239,0.0,8.0,45.0,3.191,takeoff
0.8609,1.35085,-0.11321,-9.71438,0.001225,-0.002818,0.003041,26.038,1010.1259,0.2063,0.11835,0.47544,0.0,8.0,45.0,3.228,takeoff
0.8709,1.33978,0.00313,-9.82303,0.000577,-0.005585,0.003893,26.295,1010.0952,0.20313,0.12557,0.47061,0.0,8.0,45.0,3.266,takeoff
0.8809,1.30743,-0.01856,-9.61423,-0.000155,-0.002618,0.002074,26.708,1010.0457,0.20041,0.12538,0.47497,0.0,8.0,45.0,3.303,takeoff
0.8909,1.37651,0.01056,-9.60209,0.003804,-0.002224,-0.000972,27.041,1010.0058,0.19955,0.1204,0.4627,0.0,8.0,45.0,3.341,takeoff
0.9009,1.35075,0.07228,-9.6527,0.002389,-0.004459,0.003855,27.173,1009.9899,0.20576,0.12583,0.48164,0.0,8.0,45.0,3.378,takeoff
0.9109,1.38389,-0.07701,-9.75486,0.007401,-0.006858,-0.000962,27.592,1009.9397,0.20348,0.1239,0.46348,0.0,8.0,45.0,3.416,takeoff
0.9209,1.41481,-0.12629,-9.82461,0.004134,-0.002081,-0.001381,27.725,1009.9237,0.20441,0.12178,0.47103,0.0,8.0,45.0,3.453,takeoff
0.9309,1.32167,0.03265,-9.65196,0.001562,0.00235,0.000252,28.119,1009.8766,0.20282,0.1246,0.46955,0.0,8.0,45.0,3.491,takeoff
0.9409,1.38755,-0.07186,-9.56174,0.002066,-0.001551,0.005157,28.822,1009.7924,0.20936,0.13248,0.47383,0.0,8.0,45.0,3.529,takeoff
0.951,1.4908,0.09813,-9.56524,0.003116,-0.002589,0.001445,28.778,1009.7976,0.20867,0.12196,0.46904,0.0,8.0,45.0,3.566,takeoff
0.961,1.23537,0.03959,-9.79766,0.00236,0.00239,0.002467,29.345,1009.7296,0.19935,0.13755,0.47544,0.0,8.0,45.0,3.604,takeoff
0.971,1.35462,0.01584,-9.87529,0.00013,0.002344,-0.004029,29.513,1009.7096,0.20822,0.13541,0.46209,0.0,8.0,45.0,3.641,takeoff
0.981,1.47112,-0.03687,-9.68418,-0.002676,-0.005246,0.002787,29.563,1009.7036,0.20926,0.12225,0.46393,0.0,8.0,45.0,3.679,takeoff
0.991,1.40238,0.04594,-9.54842,0.001092,0.000102,0.004825,29.983,1009.6533,0.20034,0.12594,0.47235,0.0,8.0,45.0,3.716,takeoff
1.001,1.33337,-0.03812,-9.64556,0.000371,-0.004249,0.003708,30.089,1009.6405,0.19766,0.12389,0.46912,0.0,8.0,45.0,3.754,takeoff
1.011,1.28131,-0.07625,-9.80416,-0.000175,-0.00148,-0.000392,30.852,1009.5492,0.208,0.12153,0.47047,0.0,8.0,45.0,3.791,takeoff
1.021,1.34992,0.00465,-9.84839,0.003311,-0.001803,0.006057,31.124,1009.5166,0.20655,0.12425,0.47253,0.0,8.0,45.0,3.829,takeoff
1.031,1.38073,0.07391,-9.66153,-0.000212,-0.003312,-0.00205,31.314,1009.4938,0.20146,0.13105,0.46354,0.0,8.0,45.0,3.866,takeoff
1.041,1.43537,0.08653,-9.64273,0.007058,-0.003208,0.002023,31.617,1009.4576,0.20919,0.12693,0.47499,0.0,8.0,45.0,3.904,takeoff
1.0511,1.43359,0.09573,-9.58019,0.006906,0.00077,-0.003824,32.223,1009.385,0.20269,0.13304,0.47013,0.0,8.0,45.0,3.941,takeoff
1.0611,1.40832,-0.07932,-9.74983,0.000264,0.002811,0.002893,32.272,1009.3791,0.19474,0.12514,0.47205,0.0,8.0,45.0,3.979,takeoff
1.0711,1.35484,-0.00831,-9.83798,0.001166,0.001619,-0.005251,32.521,1009.3494,0.20389,0.121,0.47168,0.0,8.0,45.0,4.017,takeoff
1.0811,1.45041,0.04085,-9.67596,0.003656,0.000683,0.001328,32.628,1009.3364,0.20239,0.12975,0.46979,0.0,8.0,45.0,4.054,takeoff
1.0911,1.37667,-0.05551,-9.49448,-0.000611,-0.000937,0.005307,32.836,1009.3115,0.20534,0.12471,0.4719,0.0,8.0,45.0,4.092,takeoff
1.1011,1.47097,-0.0578,-9.57471,0.004125,-0.002488,0.001157,33.396,1009.2445,0.20729,0.12848,0.47281,0.0,8.0,45.0,4.129,takeoff
1.1111,1.30724,0.00561,-9.72025,0.001584,-0.00641,0.001222,33.662,1009.2126,0.19984,0.12376,0.46295,0.0,8.0,45.0,4.167,takeoff
1.1211,1.37375,-0.04845,-9.9037,0.002078,-0.002093,0.003105,33.875,1009.1872,0.20156,0.12171,0.46731,0.0,8.0,45.0,4.204,takeoff
1.1311,1.38888,-0.00509,-9.6826,-0.000263,-0.002981,0.009086,34.118,1009.158,0.20277,0.14203,0.47211,0.0,8.0,45.0,4.242,takeoff
1.1411,1.35976,0.0705,-9.58238,0.003751,-0.002552,0.000229,34.776,1009.0793,0.2084,0.13043,0.47217,0.0,8.0,45.0,4.279,takeoff
1.1512,1.38744,0.03999,-9.53931,0.001426,0.003489,0.004102,34.866,1009.0685,0.20682,0.12625,0.46374,0.0,8.0,45.0,4.317,takeoff
1.1612,1.35234,-0.03203,-9.79607,0.00204,-0.001861,0.003872,35.234,1009.0244,0.2064,0.11873,0.47895,0.0,8.0,45.0,4.354,takeoff
1.1712,1.33567,-0.06136,-9.83952,-0.000434,0.002715,0.005701,35.502,1008.9924,0.20503,0.12866,0.47037,0.0,8.0,45.0,4.392,takeoff
1.1812,1.37713,0.00339,-9.69853,0.001785,-0.001331,0.003345,35.643,1008.9755,0.20911,0.12103,0.46714,0.0,8.0,45.0,4.429,takeoff
1.1912,1.40186,-0.02557,-9.48693,-0.001884,-0.004051,0.005305,35.95,1008.9387,0.20462,0.1205,0.47416,0.0,8.0,45.0,4.467,takeoff
1.2012,1.45299,0.04737,-9.56953,0.001243,-0.00355,-0.000904,36.53,1008.8693,0.20939,0.1221,0.4702,0.0,8.0,45.0,4.505,takeoff
1.2112,1.34283,-0.0987,-9.76306,-0.000234,-0.00483,-0.00291,36.402,1008.8846,0.20371,0.12514,0.46562,0.0,8.0,45.0,4.542,takeoff
1.2212,1.37486,-0.06109,-9.79454,0.000464,-0.004336,0.001873,36.747,1008.8433,0.20826,0.12088,0.47459,0.0,8.0,45.0,4.58,takeoff
1.2312,1.36851,0.03833,-9.73599,-0.001019,-0.000835,0.005027,37.487,1008.7547,0.20577,0.13475,0.46855,0.0,8.0,45.0,4.617,takeoff
1.2412,1.48289,-0.01938,-9.51735,-0.006025,-0.005348,0.002915,37.34,1008.7723,0.2077,0.1301,0.46749,0.0,8.0,45.0,4.655,takeoff
1.2513,1.36335,-0.01239,-9.64147,0.00069,-0.001671,0.000594,38.089,1008.6827,0.20197,0.13252,0.46479,0.0,8.0,45.0,4.692,takeoff
1.2613,1.36288,0.01771,-9.71232,-0.000277,-0.000315,0.002778,38.057,1008.6865,0.20864,0.13488,0.47236,0.0,8.0,45.0,4.73,takeoff
1.2713,1.37099,-0.0247,-9.89773,0.002368,-0.005011,-0.000262,38.762,1008.6021,0.2043,0.12186,0.47576,0.0,8.0,45.0,4.767,takeoff
1.2813,1.33736,-0.03852,-9.6214,0.001115,-0.006641,0.00314,38.679,1008.6121,0.21326,0.12253,0.47526,0.0,8.0,45.0,4.805,takeoff
1.2913,1.51679,-0.01546,-9.54963,0.002147,-0.004544,0.002314,39.005,1008.573,0.20434,0.12581,0.47036,0.0,8.0,45.0,4.842,takeoff
1.3013,1.42085,-0.01797,-9.61817,0.000615,-0.002124,0.000178,39.388,1008.5272,0.19649,0.12191,0.4686,0.0,8.0,45.0,4.88,takeoff
1.3113,1.3172,0.04081,-9.76511,0.001491,-0.003433,0.001453,39.457,1008.5189,0.20471,0.12088,0.46861,0.0,8.0,45.0,4.917,takeoff
1.3213,1.21413,-0.11498,-9.75264,0.003442,0.001971,0.005645,40.041,1008.4491,0.2033,0.12038,0.47573,0.0,8.0,45.0,4.955,takeoff
1.3313,1.38672,0.10753,-9.70598,0.006865,-0.002453,0.005499,40.494,1008.3948,0.20045,0.12314,0.46484,0.0,8.0,45.0,4.992,takeoff
1.3413,1.36602,0.0601,-9.55099,0.001096,-0.000303,-0.004097,40.733,1008.3662,0.20382,0.12823,0.4731,0.0,8.0,45.0,5.03,takeoff
1.3514,1.48219,0.00765,-9.69341,0.001098,-0.001362,-0.001611,40.863,1008.3507,0.20376,0.11885,0.47336,0.0,8.0,45.0,5.068,takeoff
1.3614,1.33262,-0.0602,-9.78597,0.004638,-0.002088,0.001707,41.075,1008.3253,0.20788,0.13231,0.47324,0.0,8.0,45.0,5.105,takeoff
1.3714,1.37573,-0.02883,-9.89576,-0.001717,-0.002579,-0.000711,41.281,1008.3006,0.1962,0.11883,0.46872,0.0,8.0,45.0,5.143,takeoff
1.3814,1.37848,-0.05818,-9.68737,-0.000401,0.001309,0.000983,41.846,1008.2331,0.20658,0.11855,0.46955,0.0,8.0,45.0,5.18,takeoff
1.3914,1.36497,0.02073,-9.57954,0.002056,-0.005989,0.001524,42.128,1008.1994,0.2101,0.12174,0.47009,0.0,8.0,45.0,5.218,takeoff
1.4014,1.42341,0.09085,-9.65827,-0.001823,0.006451,0.000671,42.058,1008.2077,0.20265,0.11172,0.4712,0.0,8.0,45.0,5.255,takeoff
1.4114,1.40199,-0.08473,-9.78296,0.003671,-0.007185,-0.002471,42.608,1008.1419,0.2018,0.12409,0.46368,0.0,8.0,45.0,5.293,takeoff
1.4214,1.35187,-0.06686,-9.80018,0.001505,-0.001309,-0.002826,43.017,1008.093,0.20391,0.12473,0.47524,0.0,8.0,45.0,5.33,takeoff
1.4314,1.34496,0.04779,-9.62291,0.00317,-0.004887,-0.005032,43.405,1008.0466,0.20612,0.12184,0.47587,0.0,8.0,45.0,5.368,takeoff
1.4414,1.38321,0.0042,-9.51759,-0.002432,-0.002273,0.004782,43.575,1008.0262,0.2118,0.13123,0.47004,0.0,8.0,45.0,5.405,takeoff
1.4515,1.29812,-0.0412,-9.54334,-0.003737,-0.002931,0.002531,44.064,1007.9677,0.20269,0.12235,0.46974,0.0,8.0,45.0,5.443,takeoff
1.4615,1.38,-0.04602,-9.70384,-0.001487,-0.001571,0.002871,44.084,1007.9653,0.20976,0.12631,0.47394,0.0,8.0,45.0,5.48,takeoff
1.4715,1.35056,-0.04109,-9.85992,-0.000981,0.001742,0.003438,44.291,1007.9406,0.20647,0.11369,0.46713,0.0,8.0,45.0,5.518,takeoff
1.4815,1.42772,-0.02746,-9.69278,-0.008127,-0.003111,0.002542,44.814,1007.878,0.21038,0.12451,0.46917,0.0,8.0,45.0,5.556,takeoff
1.4915,1.35905,0.01471,-9.60831,-0.004612,-0.005195,0.006053,45.004,1007.8552,0.20666,0.123,0.46105,0.0,8.0,45.0,5.593,takeoff
1.5015,1.46248,-0.09361,-9.60601,0.000752,-0.001241,-0.000633,45.069,1007.8475,0.20156,0.12182,0.46613,0.0,8.0,45.0,5.631,takeoff
1.5115,1.41211,-0.09795,-9.73747,0.001398,0.000963,0.001138,45.764,1007.7644,0.2047,0.12774,0.46249,0.0,8.0,45.0,5.668,takeoff
1.5215,1.20896,-0.04132,-9.80706,0.002352,-0.003502,0.006005,45.877,1007.7509,0.20767,0.12854,0.47859,0.0,8.0,45.0,5.706,takeoff
1.5315,1.36296,-0.05488,-9.77713,0.005591,-0.000662,0.00288,46.713,1007.6508,0.20719,0.11905,0.46902,0.0,8.0,45.0,5.743,takeoff
1.5415,1.37657,0.00443,-9.56695,-0.000841,-0.00612,0.006304,46.591,1007.6654,0.20444,0.12935,0.47236,0.0,8.0,45.0,5.781,takeoff
1.5516,1.43038,0.04978,-9.56881,0.002952,0.000333,0.001995,46.813,1007.6388,0.21322,0.12317,0.47196,0.0,8.0,45.0,5.818,takeoff
1.5616,1.38531,-0.06714,-9.7895,-0.000106,-0.003394,-0.002883,47.049,1007.6107,0.20689,0.13189,0.47277,0.0,8.0,45.0,5.856,takeoff
1.5716,1.21057,-0.02865,-9.8571,0.002311,-0.001949,0.000919,47.432,1007.5649,0.20545,0.13229,0.4699,0.0,8.0,45.0,5.893,takeoff
1.5816,1.4319,0.02326,-9.67236,-0.004421,0.00145,0.000102,47.855,1007.5143,0.2007,0.11964,0.47988,0.0,8.0,45.0,5.931,takeoff
1.5916,1.37692,0.08083,-9.542,-0.000323,-0.002023,-0.002427,48.046,1007.4915,0.20015,0.12359,0.47463,0.0,8.0,45.0,5.968,takeoff
1.6016,1.43014,-0.0578,-9.52985,0.000911,-0.003507,0.003726,48.323,1007.4583,0.19974,0.1348,0.46991,0.0,8.0,45.0,6.006,takeoff
1.6116,1.36155,-0.05582,-9.68635,-0.00063,-0.006506,-0.000539,48.847,1007.3956,0.20972,0.12429,0.47687,0.0,8.0,45.0,6.044,takeoff
1.6216,1.37774,-0.07405,-9.83774,0.00194,-0.004364,0.001511,48.995,1007.378,0.19713,0.12462,0.46848,0.0,8.0,45.0,6.081,takeoff
1.6316,1.42787,-0.11679,-9.72829,-0.000495,0.001,0.001357,49.518,1007.3154,0.20887,0.12351,0.4712,0.0,8.0,45.0,6.119,takeoff
